Tags,Ticket,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
,153565693,09/19/2024 07:21,,,Deposit,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,800.00,0,"SC CC-FSA 65628684",0,00:00:00:00,,,,,,,,,,,,
,153499753,09/11/2024 09:48,09/19/2024 04:11,XBRUSD,Buy,0.500,0.00000,0.00000,70.86000,73.55000,0.0000,5.6700,269.0,140.17,0.00,"",0,07:18:23:15,,,,,,,,,,,,
,153560310,09/18/2024 21:05,09/19/2024 04:06,USDJPY,Sell,0.300,0.00000,0.00000,141.01100,143.59300,0.0000,-16.3900,-258.2,-555.83,-121.52,"so: 48.4%/46.2/95.4",0,00:07:00:26,7.2,30m,309.9,5.00,51.7,108.053,-258.2,-539.6379999999999,16.7,0.0,-309.90,-647.69
,153560046,09/18/2024 21:01,09/18/2024 21:04,USDJPY,Buy,0.300,0.00000,0.00000,141.40700,140.96500,0.0000,0.0000,-44.2,-94.07,-17.06,"",0,00:00:02:37,,,,,,,,,,,,
,153559773,09/18/2024 20:58,09/18/2024 21:00,USDJPY,Buy,0.200,0.00000,0.00000,142.00100,140.82700,0.0000,0.0000,-117.4,-166.73,-23.21,"",0,00:00:02:34,,,,,,,,,,,,
,153499751,09/11/2024 09:47,,,Deposit,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,700.00,0,"SC CC-FSA 65297407",0,00:00:00:00,,,,,,,,,,,,
,153456758,09/05/2024 15:07,09/06/2024 17:34,XBRUSD,Buy,0.500,71.00000,0.00000,74.28000,73.03000,0.0000,0.7100,-125.0,-61.79,-77.25,"so: 49.0%/18.2/37.1",0,01:02:27:45,,,,,,,,,,,,
,153313210,08/16/2024 17:07,09/04/2024 19:10,XAUJPY,Buy,0.020,358000.00000,390000.00000,368347.00000,360091.00000,0.0000,-1.0000,-8256.0,-115.47,-59.08,"",0,19:02:03:44,,,,,,,,,,,,
,153411681,08/30/2024 08:15,09/02/2024 05:28,USDCNH,Sell,0.150,7.18000,6.50000,7.08170,7.10820,0.0000,-1.7000,-265.0,-57.52,-22.74,"",0,02:21:13:08,77.0,2d 5h ,6098.6,0.05,5833.6,1225.056,-265.0,-55.65,95.7,0.0,-6098.60,-1280.71
,153416024,08/30/2024 16:30,09/02/2024 01:00,XBRUSD,Buy,0.500,77.80000,80.00000,78.57000,77.79000,0.0000,2.1200,-78.0,-36.88,-12.72,"[sl]",0,02:08:30:26,,,,,,,,,,,,
,153393728,08/30/2024 16:07,08/30/2024 16:10,XBRUSD,Buy,0.500,0.00000,0.00000,78.10000,78.41000,0.0000,0.0000,31.0,15.50,5.65,"",0,00:00:03:30,,,,,,,,,,,,
,153396280,08/28/2024 16:59,08/28/2024 16:59,XNGUSD,Buy,0.500,1.86500,0.00000,1.88000,1.87000,0.0000,0.0000,-1.0,-55.00,-16.70,"[sl]",0,00:00:00:04,,,,,,,,,,,,
,153375064,08/26/2024 11:29,08/27/2024 11:55,XBRUSD,Buy,0.500,78.00000,84.00000,80.00000,81.11000,0.0000,0.7100,111.0,56.21,20.58,"",0,01:00:26:10,,,,,,,,,,,,
,153328226,08/20/2024 08:41,08/26/2024 11:00,XBRUSD,Buy,0.500,75.80000,80.00000,77.27000,80.00000,0.0000,4.2500,273.0,140.75,106.31,"[tp]",0,06:02:19:07,,,,,,,,,,,,
,153339957,08/21/2024 04:28,08/26/2024 00:36,USDJPY,Buy,0.100,144.00000,154.00000,145.35800,143.99600,0.0000,4.2800,-136.2,-90.31,-40.55,"[sl]",0,04:20:07:53,39.6,1d 21h ,244.4,1.26,108.2,74.658,-136.2,-93.97799999999998,44.3,0.0,-244.40,-168.64
,153328572,08/20/2024 05:45,08/20/2024 21:35,USDCNH,Buy,0.100,7.12000,7.20000,7.14080,7.11990,0.0000,0.0000,-209.0,-29.37,-11.65,"[sl]",0,00:15:49:29,40.7,6h 26m,260.8,4.76,45.3,6.3420000000000005,-215.5,-30.17,17.4,2.5,-254.30,-35.60
,153311152,08/16/2024 15:21,08/19/2024 19:04,XBRUSD,Buy,0.500,78.80000,81.00000,79.67000,78.80000,0.0000,2.1200,-87.0,-41.38,-14.10,"[sl]",0,03:03:42:42,,,,,,,,,,,,
,153312810,08/16/2024 16:47,08/19/2024 09:09,AUDJPY,Buy,0.100,97.00000,102.00000,98.10300,97.00000,0.0000,0.3500,-110.3,-75.61,-20.49,"[sl]",0,02:16:21:24,94.6,2d 12h ,181.9,1.54,71.6,49.40399999999999,-110.3,-76.10699999999999,39.4,0.0,-181.90,-125.51
,153313197,08/16/2024 17:05,08/16/2024 17:06,XAUJPY,Buy,0.020,368100.00000,370000.00000,368189.00000,368095.00000,0.0000,0.0000,-94.0,-1.27,-0.34,"[sl]",0,00:00:00:24,,,,,,,,,,,,
,153272156,08/12/2024 17:56,08/16/2024 10:39,USDCHF,Buy,0.300,0.87000,0.91000,0.86831,0.86997,0.0000,13.1700,16.6,70.41,23.48,"[sl]",0,03:16:42:52,22.0,19h 31m,62.1,0.99,63.0,217.35000000000002,-62.1,-214.245,50.4,62.9,-46.40,-160.08
,153285762,08/14/2024 03:59,08/14/2024 17:34,XTIUSD,Buy,1.000,78.00000,81.00000,79.13000,78.07000,0.0000,0.0000,-106.0,-106.00,-26.11,"",0,00:13:34:55,,,,,,,,,,,,
,153282920,08/13/2024 18:35,08/14/2024 17:34,XAUJPY,Buy,0.100,350000.00000,390000.00000,362872.00000,359614.00000,0.0000,-0.2800,-3258.0,-222.41,-35.40,"so: 49.8%/93.9/188.5",0,00:22:59:08,32.0,7h 21m,5514.3,1.81,1959.3,137.151,-3555.0,-248.85000000000002,35.5,5.4,-5217.30,-365.21
,153283753,08/13/2024 20:15,08/13/2024 20:51,XTIUSD,Sell,1.000,79.00000,0.00000,78.72000,79.00000,0.0000,0.0000,-28.0,-28.00,-4.27,"[sl]",0,00:00:36:19,,,,,,,,,,,,
,153270879,08/12/2024 17:57,08/13/2024 16:23,XTIUSD,Buy,1.000,75.00000,82.00000,78.70000,79.53000,0.0000,0.8900,83.0,83.89,14.65,"",0,00:22:26:00,,,,,,,,,,,,
,153270792,08/12/2024 16:43,08/13/2024 04:30,XTIUSD,Buy,0.500,77.00000,0.00000,78.57000,80.01000,0.0000,0.4500,144.0,72.45,14.49,"",0,00:11:47:11,,,,,,,,,,,,
,153270814,08/12/2024 16:44,,,Deposit,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,300.00,0,"SC CC-FSA 64260711",0,00:00:00:00,,,,,,,,,,,,
