Date,asset,open,high,low,close,tick_volume,spread,real_volume
2007-09-10,AAPL.NAS,19.57,19.72,19.136,19.53,1129,0,0
2007-09-11,AAPL.NAS,19.7,19.757,19.109,19.356,953,0,0
2007-09-12,AAPL.NAS,19.427,19.914,19.393,19.55,920,0,0
2007-09-13,AAPL.NAS,19.826,19.857,19.522,19.6,445,0,0
2007-09-14,AAPL.NAS,19.51,19.853,19.457,19.83,473,0,0
2007-09-17,AAPL.NAS,19.856,20.085,19.659,19.773,770,0,0
2007-09-18,AAPL.NAS,19.851,20.407,19.69,20.131,1155,0,0
2007-09-19,AAPL.NAS,20.429,20.452,19.915,20.113,759,0,0
2007-09-20,AAPL.NAS,20.021,20.254,19.91,20.044,666,0,0
2007-09-21,AAPL.NAS,20.153,20.664,20.089,20.6,704,0,0
2007-09-24,AAPL.NAS,20.95,21.407,20.95,21.183,682,0,0
2007-09-25,AAPL.NAS,20.974,21.888,20.974,21.888,915,0,0
2007-09-26,AAPL.NAS,22.06,22.143,21.607,21.824,837,0,0
2007-09-27,AAPL.NAS,21.974,22.074,21.76,22.071,532,0,0
2007-09-28,AAPL.NAS,21.914,22.085,21.821,21.934,509,0,0
2007-10-01,AAPL.NAS,22.09,22.487,21.847,22.351,1020,0,0
2007-10-02,AAPL.NAS,22.4,22.654,22.271,22.636,531,0,0
2007-10-03,AAPL.NAS,22.574,22.74,22.43,22.567,614,0,0
2007-10-04,AAPL.NAS,22.569,22.572,21.929,22.336,1054,0,0
2007-10-05,AAPL.NAS,22.626,23.083,22.529,23.083,652,0,0
2007-10-08,AAPL.NAS,23.309,23.988,23.306,23.988,686,0,0
2007-10-09,AAPL.NAS,24.301,24.394,23.811,23.988,854,0,0
2007-10-10,AAPL.NAS,23.941,23.983,23.657,23.826999999999998,539,0,0
2007-10-11,AAPL.NAS,24.213,24.363,21.893,23.176,3904,0,0
2007-10-12,AAPL.NAS,23.31,23.897,23.114,23.897,980,0,0
